athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
Sami Whitcomb,Mercury,2025-10-03,22.0,6.0,2,0,1,0,0,2,8,2,8,0.0,0,False,away,0.25,0.25,0.8087121212121211
Kalani Brown,Mercury,2025-10-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.5784438775510203,0.42857142857142855,0.7627450980392156
Kitija Laksa,Mercury,2025-10-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.2826033443680502,0.2387085137085137,0.7515151515151515
Kiana Williams,Mercury,2025-10-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.40410052910052907,0.25272108843537416,0.5
Lexi Held,Mercury,2025-10-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.4086607836607836,0.33870370370370373,0.8214285714285714
NaLyssa Smith,Aces,2025-10-03,16.0,4.0,6,0,1,0,1,2,2,0,0,0.0,4,True,home,1.0,0.24,0.0
Kierstan Bell,Aces,2025-10-03,5.0,5.0,1,0,0,0,0,2,3,1,2,0.0,0,True,home,0.6666666666666666,0.5,0.75
A'ja Wilson,Aces,2025-10-03,38.0,21.0,10,5,1,2,0,7,16,0,1,7.0,9,True,home,0.4375,0.0,0.7777777777777778
Chelsea Gray,Aces,2025-10-03,35.0,8.0,7,10,1,1,1,2,7,1,4,3.0,3,True,home,0.2857142857142857,0.25,1.0
Jackie Young,Aces,2025-10-03,32.0,10.0,2,5,2,0,2,3,13,0,6,4.0,4,True,home,0.23076923076923078,0.0,1.0
Kiah Stokes,Aces,2025-10-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3108843537414966,0.14705882352941177,0.625
Megan Gustafson,Aces,2025-10-03,11.0,2.0,1,1,0,0,0,1,1,0,0,0.0,0,True,home,1.0,0.32575757575757575,0.5166666666666667
Jewell Loyd,Aces,2025-10-03,35.0,18.0,4,0,0,0,1,8,16,2,7,0.0,0,True,home,0.5,0.2857142857142857,0.8172222222222222
Dana Evans,Aces,2025-10-03,26.0,21.0,2,3,4,0,0,8,13,5,6,0.0,0,True,home,0.6153846153846154,0.8333333333333334,0.8
Aaliyah Nye,Aces,2025-10-03,1.0,0.0,0,0,0,0,0,0,1,0,1,0.0,0,True,home,0.0,0.0,0.84375
Cheyenne Parker-Tyus,Aces,2025-10-03,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,home,0.3714285714285714,0.4,0.8125
Natasha Howard,Fever,2025-09-30,33.0,16.0,7,5,1,0,3,7,16,0,2,2.0,2,False,away,0.4375,0.0,1.0
Aliyah Boston,Fever,2025-09-30,32.0,11.0,16,2,0,0,3,5,12,0,0,1.0,2,False,away,0.4166666666666667,0.20161290322580644,0.5
Odyssey Sims,Fever,2025-09-30,41.0,27.0,2,6,1,0,5,7,14,1,2,12.0,13,False,away,0.5,0.5,0.9230769230769231
Kelsey Mitchell,Fever,2025-09-30,23.0,15.0,2,2,0,0,2,4,8,3,3,4.0,5,False,away,0.5,1.0,0.8
Lexie Hull,Fever,2025-09-30,43.0,12.0,7,3,0,1,5,5,12,0,5,2.0,2,False,away,0.4166666666666667,0.0,1.0
Brianna Turner,Fever,2025-09-30,23.0,2.0,3,1,1,0,0,1,1,0,0,0.0,0,False,away,1.0,0.0,0.5833333333333334
Makayla Timpson,Fever,2025-09-30,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,away,0.5819444444444445,0.0,0.6666666666666666
